Codcir,Codmun,Municipio,Censo,Certif_Alta,Censo_Total,Votos_Totales,Votos_Nulos,Votos_Blancos,Abstención,Votos_Validos,Votos_Candidaturas,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,230,Torralba del Río,91,0,91,80,1,1,11,79,78,7,23,5,2,23,0,2,1,1,14,0
31,231,Torres del Río,98,0,98,68,2,2,30,66,64,4,2,4,3,31,0,0,1,0,18,1
31,232,Tudela,25608,3,25611,17291,255,284,8320,17036,16752,1825,589,671,1295,6546,51,181,1708,25,3841,20
31,233,Tulebras,102,0,102,77,1,3,25,76,73,16,1,0,13,22,0,0,1,1,19,0
31,234,Ucar,153,0,153,98,0,2,55,98,96,5,8,9,10,44,0,1,3,0,16,0
31,123,Uharte Arakil,617,0,617,375,5,8,242,370,362,23,86,150,3,44,0,0,17,0,38,1
31,235,Ujué/Uxue,152,0,152,109,6,0,43,103,103,3,27,28,2,23,0,0,2,0,17,1
31,236,Ultzama,1308,0,1308,777,10,13,531,767,754,26,189,235,23,191,1,1,33,6,49,0
31,237,Unciti,194,0,194,144,3,2,50,141,139,3,22,20,3,56,0,0,7,1,27,0
31,238,Unzué/Untzue,125,0,125,102,0,1,23,102,101,4,12,35,2,19,0,0,8,1,20,0
