Codcir;Codmun;Municipio;Mesa;Censo;Certif_alta;Certif_correc;Censo total;Votos_electores;Votos_interventores;Votos_totales;Votos_nulos;Votos_blancos;Geroa Bai;UPN;PSN;EH Bildu;UPyD;I-E;PP;Podemos;Ciudadanos;LN;Equo;PACMA;SAIn;RCN-NOK
31;64;Cadreita;1-001 -C;521;0;0;521;455;4;459;4;6;24;188;144;26;1;11;5;44;4;1;0;1;0;0
31;65;Caparroso;1-001 -U;670;0;0;670;468;1;469;9;9;29;194;74;21;0;8;66;44;3;10;0;2;0;0
31;65;Caparroso;2-001 -A;611;0;0;611;495;1;496;16;13;31;154;138;42;1;14;31;37;8;5;1;1;2;2
31;65;Caparroso;2-001 -B;627;0;0;627;503;0;503;18;12;35;167;121;29;3;16;28;56;8;5;0;2;0;3
31;66;Cárcar;1-001 -A;416;0;0;416;320;0;320;11;14;24;100;111;16;2;8;7;18;5;0;1;1;0;2
31;66;Cárcar;1-001 -B;450;0;0;450;356;0;356;9;15;17;139;114;11;1;6;17;17;3;0;1;2;2;2
31;67;Carcastillo;1-001 -A;427;0;0;427;321;0;321;6;4;25;105;67;16;2;9;21;54;5;0;3;1;0;3
31;67;Carcastillo;1-001 -B;371;0;0;371;284;0;284;9;10;24;80;80;9;1;10;12;36;10;0;0;1;0;2
31;67;Carcastillo;1-001 -C;241;0;0;241;184;0;184;3;8;12;74;50;4;1;5;5;17;1;0;0;3;1;0
31;67;Carcastillo;2-001 -A;468;0;0;468;348;0;348;7;6;34;113;86;22;0;7;18;38;8;3;0;3;0;3
31;67;Carcastillo;2-001 -B;437;0;0;437;328;0;328;14;7;41;106;64;15;2;5;12;47;5;1;1;3;0;5
31;68;Cascante;1-001 -A;464;0;0;464;323;1;324;10;8;17;117;79;16;1;7;7;52;9;0;0;1;0;0
31;68;Cascante;1-001 -B;506;0;0;506;345;0;345;9;5;19;128;107;8;1;9;5;40;6;0;1;5;1;1
31;68;Cascante;2-001 -A;436;0;0;436;319;0;319;11;4;7;116;94;10;3;14;9;39;8;1;1;1;1;0
31;68;Cascante;2-001 -B;399;0;0;399;303;1;304;4;2;8;119;92;6;4;9;8;44;5;0;0;2;0;1
31;68;Cascante;3-001 -A;540;0;0;540;416;0;416;15;13;28;133;126;13;0;7;10;53;14;0;2;1;0;1
31;68;Cascante;3-001 -B;568;0;0;568;444;0;444;16;17;25;128;127;12;3;11;11;54;27;2;3;4;1;3
31;69;Cáseda;1-001 -A;451;0;0;451;369;0;369;9;2;30;152;48;52;0;12;22;36;4;0;1;1;0;0
31;69;Cáseda;1-001 -B;397;0;0;397;317;0;317;7;9;35;118;37;40;2;14;17;30;5;0;2;1;0;0
31;70;Castejón;1-001 -A;744;0;0;744;526;0;526;12;18;14;179;128;18;1;51;3;75;24;0;0;1;0;2
