Codcir,Codmun,Municipio,Mesa,Censo,Certif_Alta,Certif_Correc,Censo_Total,Votos_Electores,Votos_Interventores,Votos_Totales,Votos_Nulos,Votos_Blancos,PPN,GEROA_BAI,EH_BILDU,VOX,UPN,PUM_MAS_J,CIUDADANOS,CONTIGO_ZUREKIN,EGUZKILORE,PSN-PSOE,VOLUNTAD_FORAL
31,118,Goñi,1-001-U,165,0,0,165,118,0,118,10,6,3,33,19,2,15,0,0,4,5,21,0
31,119,Güesa/Gorza,1-001-U,34,0,0,34,24,0,24,0,3,0,9,5,0,4,0,0,2,0,1,0
31,120,Guesálaz/Gesalatz,1-001-U,376,0,0,376,257,0,257,6,3,11,48,61,7,57,3,2,14,5,37,3
31,121,Guirguillano,1-001-U,61,0,0,61,49,0,49,1,5,6,5,9,1,13,0,1,4,0,4,0
31,256,Hiriberri/Villanueva de Aezkoa,1-001-U,93,0,0,93,47,0,47,0,0,0,17,25,1,4,0,0,0,0,0,0
31,122,Huarte/Uharte,1-001-A,559,0,0,559,372,0,372,11,8,20,82,97,15,51,3,3,21,2,58,1
31,122,Huarte/Uharte,1-001-B,645,0,0,645,431,0,431,5,7,21,90,104,10,86,3,1,32,1,70,1
31,122,Huarte/Uharte,1-002-A,819,0,0,819,550,0,550,9,8,19,143,117,9,118,4,2,34,0,87,0
31,122,Huarte/Uharte,1-002-B,836,0,0,836,522,0,522,4,10,25,113,113,16,117,3,6,36,1,78,0
31,122,Huarte/Uharte,1-003-A,777,0,0,777,538,0,538,6,16,17,138,144,13,94,4,1,28,4,72,1
31,122,Huarte/Uharte,1-003-B,762,0,0,762,520,0,520,8,9,29,96,142,20,99,2,0,33,3,76,3
31,122,Huarte/Uharte,1-004-A,439,0,0,439,290,0,290,2,3,28,48,69,14,76,1,0,18,1,29,1
31,122,Huarte/Uharte,1-004-B,482,0,0,482,310,0,310,4,7,33,37,56,18,93,1,3,19,1,37,1
31,124,Ibargoiti,1-001-U,230,0,0,230,174,0,174,2,5,5,33,21,7,71,2,0,4,2,20,2
31,259,Igantzi,1-001-U,456,0,0,456,268,0,268,3,3,5,93,114,1,9,0,0,8,1,30,1
31,125,Igúzquiza,1-001-U,262,0,0,262,175,0,175,4,8,8,13,29,3,55,0,0,13,4,33,5
31,126,Imotz,1-001-U,350,0,0,350,238,0,238,6,2,8,56,87,3,35,3,0,11,1,26,0
31,127,Irañeta,1-001-U,126,0,0,126,87,0,87,2,6,4,14,27,8,21,1,0,2,0,2,0
31,904,Irurtzun,1-001-A,832,0,0,832,479,0,479,3,8,30,66,188,10,69,3,0,14,2,86,0
31,904,Irurtzun,1-001-B,771,0,0,771,443,0,443,6,12,22,71,140,7,81,0,0,19,9,75,1
31,128,Isaba/Izaba,1-001-U,350,0,0,350,210,0,210,3,2,8,28,67,3,39,0,0,22,0,38,0
31,129,Ituren,1-001-U,394,0,0,394,268,0,268,1,6,7,53,155,4,7,1,0,7,5,22,0
31,130,Iturmendi,1-001-U,341,0,0,341,196,0,196,0,1,23,44,65,0,31,0,1,11,1,19,0
31,131,Iza/Itza,1-001-A,418,0,0,418,312,0,312,10,6,8,63,71,13,87,1,3,14,6,29,1
31,131,Iza/Itza,1-001-B,584,0,0,584,405,0,405,3,11,48,43,67,28,142,2,3,20,1,37,0
31,132,Izagaondoa,1-001-U,136,0,0,136,98,0,98,1,1,4,8,29,10,34,1,0,2,1,7,0
31,133,Izalzu/Itzaltzu,1-001-U,33,0,0,33,26,0,26,0,0,0,3,15,0,2,0,0,0,0,6,0
31,134,Jaurrieta,1-001-U,161,0,0,161,129,0,129,1,2,6,30,29,5,35,0,0,1,0,20,0
31,135,Javier,1-001-U,107,0,0,107,58,0,58,2,1,8,7,0,5,23,1,0,0,0,11,0
31,136,Juslapeña / Txulapain,1-001-U,467,0,0,467,293,0,293,10,3,7,51,101,26,35,2,1,18,4,33,2
31,138,Lakuntza,1-001-A,496,0,0,496,284,0,284,3,5,5,72,145,6,22,0,0,7,4,15,0
31,138,Lakuntza,1-001-B,453,0,0,453,291,0,291,4,4,4,79,135,3,21,0,0,14,1,26,0
