Codcir,Codmun,Municipio,Censo,Certif. Alta,Censo Total,Votos Totales,Votos Nulos,Votos Blancos,Abstención,Votos Válidos,Votos Candidaturas,NA+,EH Bildu,I-E (n),PSN-PSOE,GBAI,SAIN,VOX,EQUO,RCN-NOK,Ln,PODEMOS
31,901,Barañáin / Barañain,15501,0,15501,11098,50,68,4403,11048,10980,3776,1490,390,2390,2016,10,141,63,37,19,648
31,45,Barásoain,505,0,505,347,2,3,158,345,342,109,42,17,55,72,0,6,4,1,0,36
31,46,Barbarin,53,0,53,39,0,0,14,39,39,27,1,0,7,1,0,0,0,0,0,3
31,47,Bargota,236,0,236,167,1,1,69,166,165,64,27,1,37,34,0,1,0,0,0,1
31,48,Barillas,161,0,161,129,0,2,32,129,127,88,0,1,19,9,0,7,0,1,0,2
31,49,Basaburua,680,0,680,509,6,0,171,503,503,69,265,9,24,122,0,2,0,1,0,11
31,50,Baztan,6007,0,6007,4262,58,55,1745,4204,4149,802,1580,119,261,1279,1,18,5,9,7,68
31,137,Beintza-Labaien,198,0,198,107,3,4,91,104,100,28,22,0,5,42,0,1,0,1,0,1
31,51,Beire,234,0,234,168,0,4,66,168,164,69,20,5,35,20,0,4,2,0,0,9
31,52,Belascoáin,101,0,101,75,2,0,26,73,73,31,4,4,15,14,0,1,0,0,0,4
31,250,Bera,2742,0,2742,1873,13,10,869,1860,1850,215,650,24,165,702,1,4,6,0,0,83
31,53,Berbinzana,507,0,507,397,1,8,110,396,388,140,60,13,103,56,1,0,0,2,1,12
31,905,Beriáin,2971,0,2971,2016,9,18,955,2007,1989,696,142,61,562,269,19,42,23,12,2,161
31,902,Berrioplano / Berriobeiti,4643,0,4643,3258,10,33,1385,3248,3215,1157,445,87,587,627,2,86,27,13,5,179
31,903,Berriozar,6888,1,6889,4488,30,34,2401,4458,4424,1048,1078,178,1075,645,5,53,23,22,11,286
31,54,Bertizarana,453,0,453,296,4,4,157,292,288,50,114,2,29,86,0,1,0,1,0,5
31,55,Betelu,263,0,263,195,1,2,68,194,192,21,66,0,11,91,0,0,0,0,0,3
