Codcir,Codmun,Municipio,Censo,Certif_alta,Censo total,Votos_totales,Votos_nulos,Votos_blancos,Abstención,Votos_Válidos,Votos Candidaturas,Geroa Bai,UPN,PSN,EH Bildu,UPyD,I-E,PP,Podemos,Ciudadanos,LN,Equo,PACMA,SAIn,RCN-NOK
31,228,Tiebas-Muruarte de Reta,489,0,489,377,4,13,112,373,360,55,85,50,23,4,14,16,72,24,2,5,6,0,4
31,229,Tirapu,49,0,49,38,0,0,11,38,38,1,6,2,6,0,0,12,8,2,0,0,0,1,0
31,230,Torralba del Río,107,0,107,84,0,1,23,84,83,12,39,9,4,0,2,6,11,0,0,0,0,0,0
31,231,Torres del Río,118,0,118,84,0,2,34,84,82,3,36,12,3,0,2,6,14,6,0,0,0,0,0
31,232,Tudela,25147,2,25149,16624,303,422,8525,16321,15899,1001,4707,2880,626,260,1419,1284,2430,882,43,109,179,23,56
31,233,Tulebras,99,0,99,76,2,0,23,74,74,3,28,15,0,0,3,12,7,3,2,0,1,0,0
31,234,Ucar,147,0,147,104,0,2,43,104,102,13,32,12,8,1,5,5,20,4,0,0,0,1,1
31,123,Uharte Arakil,663,0,663,435,7,7,228,428,421,87,80,25,155,0,4,15,39,5,1,2,1,3,4
31,235,Ujué,167,0,167,129,3,4,38,126,122,17,23,19,34,0,3,3,18,3,0,1,0,1,0
31,236,Ultzama,1325,0,1325,947,12,25,378,935,910,235,254,26,219,4,18,46,87,11,2,2,2,1,3
31,237,Unciti,193,0,193,156,1,2,37,155,153,35,56,9,7,0,8,3,19,10,2,0,2,0,2
31,238,Unzué - Untzue,110,0,110,95,1,3,15,94,91,13,18,11,16,0,4,0,22,6,1,0,0,0,0
31,239,Urdazubi - Urdax,313,0,313,274,7,14,39,267,253,102,65,7,45,0,2,8,12,9,1,0,2,0,0
31,240,Urdiain,534,0,534,341,0,9,193,341,332,92,24,10,153,0,4,4,37,3,1,0,4,0,0
31,241,Urraul Alto,135,0,135,113,2,7,22,111,104,19,37,6,9,0,9,7,12,4,0,1,0,0,0
31,242,Urraul Bajo,253,0,253,173,2,5,80,171,166,19,64,5,31,0,4,8,24,7,1,1,0,0,2
31,244,Urroz,158,0,158,101,0,5,57,101,96,32,9,5,27,1,2,4,7,3,3,1,0,1,1
31,243,Urroz-Villa,323,0,323,241,6,8,82,235,227,35,61,15,66,1,7,1,27,10,0,4,0,0,0
31,245,Urzainqui - Urzainki,84,0,84,55,0,3,29,55,52,11,20,2,12,0,3,0,2,0,2,0,0,0,0
31,246,Uterga,140,0,140,104,0,5,36,104,99,18,28,4,16,0,9,2,17,3,0,0,1,0,1
31,247,Uztárroz - Uztarroze,155,0,155,113,0,0,42,113,113,21,37,4,39,0,2,2,6,1,0,1,0,0,0
31,86,Valle de Egüés - Eguesibar,12951,5,12956,9568,56,170,3388,9512,9342,2007,2436,632,1050,55,418,350,1607,479,20,107,74,48,59
31,260,Valle de Yerri - Deierri,1238,0,1238,817,8,21,421,809,788,123,242,57,199,3,17,32,83,14,4,5,4,0,5
