Código de mesa;Provincia;"Código 
municipio";Municipio;Distrito;Sección;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;Nº Votos
05-019-1-0003-A;AVILA;019;AVILA;1;0003;A;1127;435;600;744;3;12;CDS;205
05-019-1-0003-A;AVILA;019;AVILA;1;0003;A;1127;435;600;744;3;12;PSOE;147
05-019-1-0003-A;AVILA;019;AVILA;1;0003;A;1127;435;600;744;3;12;IU;66
05-019-1-0003-A;AVILA;019;AVILA;1;0003;A;1127;435;600;744;3;12;LV;31
05-019-1-0003-A;AVILA;019;AVILA;1;0003;A;1127;435;600;744;3;12;FE-JONS;4
05-019-4-0003-A;AVILA;019;AVILA;4;0003;A;1426;363;607;837;5;11;PP;369
05-019-4-0003-A;AVILA;019;AVILA;4;0003;A;1426;363;607;837;5;11;CDS;191
05-019-4-0003-A;AVILA;019;AVILA;4;0003;A;1426;363;607;837;5;11;PSOE;170
05-019-4-0003-A;AVILA;019;AVILA;4;0003;A;1426;363;607;837;5;11;IU;61
05-019-4-0003-A;AVILA;019;AVILA;4;0003;A;1426;363;607;837;5;11;LV;30
05-019-4-0003-A;AVILA;019;AVILA;4;0003;A;1426;363;607;837;5;11;FE-JONS;0
05-019-5-0003-A;AVILA;019;AVILA;5;0003;A;1270;445;625;765;2;21;PP;394
05-019-5-0003-A;AVILA;019;AVILA;5;0003;A;1270;445;625;765;2;21;PSOE;141
05-019-5-0003-A;AVILA;019;AVILA;5;0003;A;1270;445;625;765;2;21;CDS;121
05-019-5-0003-A;AVILA;019;AVILA;5;0003;A;1270;445;625;765;2;21;IU;57
05-019-5-0003-A;AVILA;019;AVILA;5;0003;A;1270;445;625;765;2;21;LV;27
05-019-5-0003-A;AVILA;019;AVILA;5;0003;A;1270;445;625;765;2;21;FE-JONS;2
05-019-6-0003-A;AVILA;019;AVILA;6;0003;A;1654;507;719;927;17;15;PP;389
05-019-6-0003-A;AVILA;019;AVILA;6;0003;A;1654;507;719;927;17;15;PSOE;232
05-019-6-0003-A;AVILA;019;AVILA;6;0003;A;1654;507;719;927;17;15;CDS;179
05-019-6-0003-A;AVILA;019;AVILA;6;0003;A;1654;507;719;927;17;15;IU;63
05-019-6-0003-A;AVILA;019;AVILA;6;0003;A;1654;507;719;927;17;15;LV;29
05-019-6-0003-A;AVILA;019;AVILA;6;0003;A;1654;507;719;927;17;15;FE-JONS;3
05-019-4-0004-A;AVILA;019;AVILA;4;0004;A;1496;457;698;856;10;19;PP;285
05-019-4-0004-A;AVILA;019;AVILA;4;0004;A;1496;457;698;856;10;19;CDS;233
05-019-4-0004-A;AVILA;019;AVILA;4;0004;A;1496;457;698;856;10;19;PSOE;190
05-019-4-0004-A;AVILA;019;AVILA;4;0004;A;1496;457;698;856;10;19;IU;83
05-019-4-0004-A;AVILA;019;AVILA;4;0004;A;1496;457;698;856;10;19;LV;34
05-019-4-0004-A;AVILA;019;AVILA;4;0004;A;1496;457;698;856;10;19;FE-JONS;2
05-019-5-0004-A;AVILA;019;AVILA;5;0004;A;819;323;414;517;5;4;PP;225
05-019-5-0004-A;AVILA;019;AVILA;5;0004;A;819;323;414;517;5;4;PSOE;114
